InnovationID,InnovationName,InnovationDescription,Category,Invention,Patents,CoInventor,Completed ,ConnectedWoman,Bundle
1208,Inventor of sewing machine improvements,held 18 patents,Sewing; Textiles,Sewing machine; Improvement in sewing machine; Improvement in machines for sewing straw braid; Improved ironing or fluting machine; Improved mop-wringer; Improvement in needle & arm for sewing machine; Improvement in sewing-machine feeding mechanisms; Improvement in buttons; Improvement in barrel-painting machines; Grated shovel; Devise for numbering houses; Netting canopy for beds &c.; Mosquito trap; Work-holder; Attachment for skirts; Darning-holder; Darning device; Hair-retaining comb,112016; 131739;171774; 351138; 52136; 99158; 112016; 137824; 174477; 316623; 335130; 364415; 455403;517860; 549269; 556751; 556752; 792266,None,yes,1401,undefined
1209,Invented an improved corset,Reportedly held 2 patents for corset improvements but only 1 was located,Inventor,Corsets,198348,None,yes,1396,undefined
1210,Radio Astronomy,"known for her work on the search for extraterrestrial intelligence (SETI); worked with Stuart Bowyer on the radio-search project SERENDIP and created the corresponding backronym, ""Search for Extraterrestrial Radio Emissions from Nearby Developed Intelligent Populations""; was project scientist for NASA's High Resolution Microwave Survey (HRMS) in 1992 and 1993 and subsequently director of Project Phoenix (HRMS reconfigured; a decade-long SETI scrutiny of about 750 nearby star systems, using telescopes in Australia, West Virginia and Puerto Rico) under the auspices of the SETI Institute; was co-creator with Margaret Turnbull of the HabCat in 2002, a principal component of Project Phoenix; co-found the SETI Institute & led the design, construction and science at the SETI Institute’s Allen Telescope Array (ATA); has been actively involved in developing curriculum for children specifically the Life in the Universe series, created 6 science teaching guides for grades 3-9 & Voyages Through Time an integrated high school science curriculum on the fundamental theme of evolution in six modules: Cosmic Evolution, Planetary Evolution, Origin of Life, Evolution of Life, Hominid Evolution and Evolution of Technology;",SETI,None found,None,None,yes,1389,undefined
1211,Inventor of Whooping Cough vaccine,"is credited as co-developer of the pertussis (whooping cough) vaccine, with support from Eli Lilly and Company, and Emory University; discussed her views on child-rearing in her book Every Child Should Have a Chance (1971); wrote a second book, with Madia Bowman, titled Dr. Denmark Said It!: Advice for Mothers from America's Most Experienced Pediatrician written in 2002;",Medicine,Whooping cough vaccine,None,None found,yes,1251,undefined
1212,Inventor of Culinique line of food molds,"creator of the Culinique line of Surprise Inside Food Molds; founder of InOvation Enterprises, Inc",Food Sciences,None found,None found,None,yes,1302,undefined
1214,Inventor of farm builldings & equipment,held 12 patents for farm buildings,Agriculture,"Eaves-trough; Grain-storehouse construction; Elastic crib; Metal building plate; Ventilated grain storehouse; Corrugated building construction; Brooder house; Frame with adjustable & replaceable sash for convertible grain bins & brooder houses; Grain storage bin; Grain storehouse; ",932254; 1336945; 1219267; 1247511; 1226477; 1328132; 2406593; 1670932; 1607243; 1339437; CA207601; CA2862000,None,yes,1272,undefined
1215,Preservation of Cherokee Culture,"24th Principal Chief of the federally recognized Eastern Band of Cherokee Indians (1995-1999) first woman to be elected to this office, and as of 2024 the only one; worked to restructure the government and adopt more financial controls for the tribe; established a cultural division in tribal government, working on ""cultural heritage issues such as language, repatriation, museum exhibit, and education."" (Wikipedia); initiated programs to try to reduce the Cherokees' high rate of diabetes; with B. Lynne Harlan, wrote a book, The Cherokee (2002), which describes the history and cultural practices of her tribe",Educator,None found,None,None,yes,1346,undefined
1216,Entrepreneur,"with her husband, Arthur Breitman, developed Tezos to address issues that had become challenges in other blockchain ecosystems, particularly around scalability and governance; introduced a self-amending blockchain, reducing the need for hard forks by enabling in-protocol upgrades; co-founder of Coase, a software company that aspires to lower transaction costs;",Computer Science,None found,None found,None,yes,1405,undefined
1218,2001 Co-inventor of remote control locator,2001 twin sisters Kelli and Vanessa invented a remote control locator; 2003 with Kelli founded National Online Makeup Artists (NOMA); 2008 NOMA Beauty Magazine was launched through NOMA; 2013 with Kelli wrote Makeup Dunn Right:  How to Master Your Makeup;,Inventor; makeup artist,Remote control paging & organizing assembly,6320503,Kelli Dunn,yes,1303,undefined
1219,"1916 Popularized idea of Women Driving unaccompanied ","Post's 1916 book ""By Motor to the Golden Gate"" popularized the idea women could drive around unaccompanied.","Automotive ",NULL,NULL,NULL,yes,952,undefined
