InnovationID,InnovationName,InnovationDescription,Category,Invention,Patents,CoInventor,Completed ,ConnectedWoman,Bundle
1,"invention of new photographic equipment ","""inventions included a distortion enlarging easel  which created unusual effects on images  and the telescopic lighting pole  known today by many studio photographers as an """"autopole """" to which lights can be attached at any level. """,Photography,Camera; Display Mount; Composition Guide; Distorting Easel,2860556;2638299;2626467;2565446,none,yes,1,undefined
2,Develops techniques in artificial intelligence and mathematical algorithms with a focus on distributive justice,"develops mathematical and computational fraAbebe's research develops techniques in artificial intelligence and algorithms, with a focus on inequality and distributive justice. Her work includes algorithmic frameworks for examining issues in underserved populations. Her interest in merging inequality studies and computer science stemmed both from her educational background in Ethiopia as well as her study of the Cambridge public schools through attendance of school board meetings. Through these experiences she emphasizes the potential social harms of inequitable algorithmic design in her work. Throughout 2019 Abebe served on the National Institutes of Health Working Group, which was tasked with developing a comprehensive report and recommendations for the NIH. meworks for examining questions related to inequality and distributive justice; founder of the multi-institutional extradisciplinary research initiatives MD4SG & Black in AI; works with the Ethiopian government to improve the algorithm they use to match H.S. students with colleges;  ",Computer Science - Artificial Intelligence,none,none,none,yes,2,undefined
3,Decontamination of hazardous waste; improving living conditions of the poor,"focused on improving the living conditions of the poor; 1995  co-founded PEER Africa Pty LTD to build energy efficient homes in post-apartheid S. Africa; participated in the clean up of Boston Harbor & worked with Dept of Defense & Dept of Hazardous Waste Remedial Actions Program; ",Chemical Engineering,none,none,none,yes,3,undefined
4,Social Reform,1889  co-founded Hull House with Ellen G. Starr  first settlement house in Chicago; 1908  founding member of Chicago School of Civics & Philanthropy; 1909  first woman president of the National Conference of Charities & Corrections; 1920  co-founder of ACLU; 1901  founded Juvenile Protection Association (provided probation officers for first Juvenile Court in U.S.); first vice president of the Playground Association of America; 1905  charter member of the American Sociological Society; charter member of NAACP; 1907  founding member of National Child Labor Committee,Social Sciences,none,none,none,yes,4,undefined
5,Project manager and scientist of NASA's role in the European-led Rosetta mission to study Comet Churyumov–Gerasimenko.,"Alexander worked for the United States Geological Survey and NASA's Jet Propulsion Laboratory beginning in 1986, and was the project manager of NASA's Galileo mission to Jupiter.  The mission discovered 21 new moons of Jupiter and the presence of an atmosphere on Ganymede. The discovery of the atmosphere, more precisely a ""surface bound exosphere"", caused scientists to rethink their assumptions that Ganymede was an inactive moon. Alexander later served as project manager and scientist of NASA's role in the European-led Rosetta mission to study Comet Churyumov–Gerasimenko.",Astronomy - Planetary Science,none,none,none,yes,5,undefined
6,1940 Research in the diagnosis and treatment of meningitis in children.,"Alexander's work aimed to advance research of infectious diseases and the biology of the microorganisms that cause meningitis in a time before antibiotics or vaccinations. Her research focused primarily on the mechanisms and effects of meningitis in children which at the time had a high mortality rate. In the early 1940s, Alexander began researching Haemophilus influenzae (Hib) meningitis, which was at the time an almost invariably fatal disease in infants and young children. By developing standardized techniques for diagnosis and treatment, she and her associate Grace Leidy helped reduce the mortality rate from Hib from nearly 100 percent to less than 25 percent. Later, Alexander and Leidy studied the effect of antibiotics on Hib. The combined use of the antiserum, sulfa drugs, and antibiotics significantly lowered the mortality rate from Hib. ","Medicine - Pediatric Meningitis ",none,none,none,yes,6,undefined
7,Wireless table & floor lamps,"She started the Live. Anywhere. Collection, a collection of wireless table and floor lamps, for which she owns a patent.","Technology, Household appliances ",Battery powered indoor/outdoor decorative table & floor lamp & LED based light bulb,9488326,David Glenn Glover,yes,7,undefined
8,1968 - Pioneer in the field of nuclear magnetic resonance spectroscopy,"*Anderson was pioneer in the field of nuclear magnetic resonance spectroscopy *Known for studies of fluorine-19 & solid rocket propellants * Funded her own research; found it difficult to obtain funding due to her race * Received her physical organic chemistry Ph.D. in 1968 * Coined the term ""substituent chemical shift"". ",Physical Organic Chemistry,1-adamantyl chalcones for the treatment of proliferative disorders; Method for preparing some 1-adamantancecarboxamides,#7563789; #6348625,Tawfeq Aboul-Raheem Kaimari,yes,8,undefined
9,Windshield Wiper Blade,"In a visit to New York City in the winter of 1902, Anderson sat in a trolley car on a frosty day. She observed that the trolley car driver struggled to see past the windows because of the falling sleet. To clear the sights, the driver needed to open the window, lean out of the vehicle, or stop the car to go outside in order to wipe the windscreen with his or her hands. Anderson, who was not an engineer but an entrepreneur, identified the problem and its opportunity. She envisioned a windshield wiper blade that the trolley driver could operate from the inside. Her new device consisted of a lever inside the vehicle that controlled a rubber blade on the outside of the windshield. The lever could be operated to cause the spring-loaded arm to move back and forth across the windshield. A counterweight was used to ensure contact between the wiper and the window. The device could be easily removed if desired after the winter was over. She applied for, and in 1903 was granted, a 17-year patent for a windshield wiper. The patent application was filed on June 18, 1903. On November 10, 1903, the United States Patent Office awarded Anderson patent number 743,801 for her Window Cleaning device.",Automotive,Windshield wiper Blade operated manually,"""743 801""",none,yes,9,undefined
11,Palentology,1811  discovered the first full skeleton of an Ichthyosaurus; 1823  discovered the first full Plesiosaurus skeleton; 1828  discovered the first Pterosaur skeleton outside of Germany; pioneered the study of Coprolites (poo); discovered Belemnite fossils contained fossillized ink sacs like those of modern cephalopods; 1829  discovered a Squaloraja fish skeleton;,Palentology,none,none,none,yes,11,undefined
12,"2010 Research in tissue engineering for cell regeneration ","Anseth is developing photopolymers that will change from soft to hard in response to cues such as ultraviolet light, and then degrade predictably over time. Such materials could be used to for orthopedic repairs, functioning as a replacement for damaged areas of bone and then slowly being replaced by regrowth of natural material as the body heals. Her pioneering approach applies photopolymerization and photodegradation to enable precise control in space and time of hydrogels' structure and composition. This research involves fundamental investigations into the molecular dynamics of processes at the cell-biomaterial interface. ",Biology - Biological Engineering,Amplified Photodegradation of hydrogels & methods of producing the same; Degradable thiol-ene polymers; Synthesis & assembly of clickable microgels into cell-laden porous scaffolds; Covalently cross-linked hydrogels & methods of making & using same; Hydrogels & methods for producing & using the same; Semi-interpenetrating or interpenetrating polymer networks for drug delivery & tissue engineering; Preparation & use of photopolymerized microparticles; Process for the conversion of N.sub.20,1100625;10189952;9631092;8859716;8703904;8519086;7625580;7288608;6864301;6403672;6224893;5314673,Ian Marozas; Tobin Brown; Chrisstopher Bowman; Bilge Hacioglu; Charlie Huttelman; Ben Fairbanks; Brian Polizzotti; Cole DeForest; Robert S. Langer; Jennifer Elisseeff; Derek Sims; Theodore Randolph; Jennifer L. Owens; Corinne Lengsfeld; Theodore A Koch,yes,12,undefined
13,1950 Apgar Test to evaluate the health status of newborns.,"Between the 1930s and the 1950s, the United States infant mortality rate decreased, but the number of infant deaths within the first 24 hours after birth remained constant. Apgar noticed this trend and began to investigate methods for decreasing the infant mortality rate specifically within the first 24 hours of the infant's life. As an obstetric anesthesiologist, Apgar was able to document trends that could distinguish healthy infants from infants in trouble. This investigation led to a standardized scoring system used to assess a newborn's health after birth, with the result referred to as the newborn's ""Apgar score"". Each newborn is given a score of 0, 1 or 2 (a score of 2 meaning the newborn is in optimal condition, 0 being in distress) in each of the following categories: heart rate, respiration, color, muscle tone and reflex irritability. Compiled scores for each newborn can range between 0 and 10, with 10 being the best possible condition for a newborn. The scores were to be given to a newborn one minute after birth, and additional scores could be given in five-minute increments to guide treatment if the newborn's condition did not sufficiently improve. By the 1960s, many hospitals in the United States were using the Apgar score consistently. In the 21st century, the score continues to be used to provide an accepted and convenient method for reporting the status of the newborn infant immediately after birth. ",Medicine - Pediatrics; Anesthesiology,none,none,none,yes,13,undefined
14,Stem Cell Therapy,development of piezoelectric materials processed into fiber structures & biomimetic materials that provide bioactivity & promote tissue repair; holds 14 patents,Biomedical Engineering,System & method for a piezoelectric collagen scaffold; Scaffoold for tissue growth & repair; systen & method for superabsorbant material; Piezoelectric scaffold for nerve growth & repair; Method of tissue repair using a piezoelectric scaffold; Method for nerve growth & repair using a piezoelectric scaffold; System & method for a hydrogel & hydrogel composite for cartilage repair applications; Hydrogel composition; Cartilage repair system & application utilizing a glycosaminoglycan mimic; System & method for electrospun biodegradable scaffold for bone repair; electrospun ceramic-polymer composite as a scaffold for tissue repair;  System & method for insulin-mimetic of cartilage  bone or osteochondral repair & piezoelectric composite scaffold; Electrospun electroactive medicine applications; 3-D in vitro model for breast cancer,11617816;10420856;9504987;9771557;9476026;9334476;9192655;9643157;9180166;10081794;9181636;10772909;10052412;10197563;CA2596957(expired),Michael Jaffe; Amir Hossein Rajabi; George Collins; Yee-Shuan Lee; Bhavita Joshi; Bruno Mantilla; Piyush Modak; Ling-Fang Tseng; Tamunotonye Briggs; Ateka Khader; Norbert Weber; Pranela Rameshiwar; Khadidiatou T. Guiro;Shobana Shanmugasundaray,yes,14,undefined
15,directed evolution of enzymes,researched directed evolution of enzymes(proteins that catalyze chemical reactions); holds 56 patents,Engineering,holds 56 patents; see Doc Links for complete list,11008596;10934531;10927355;10501762;10208322;10093906;9708633;9493799;9399762;9334544;9334517;9322007;9322001;9284587;9249401;9145549;8993262;8962295;8802401;8741616;8722371;8603949;8367386;8361769;8343744;8309333;8252559;8076114;8026085;7863030;7704715;7691616;7524664;7465567;7435570;7226768;7220563;7214298;7115403;7098010;6902918;6540895;6524837;6361988;6177263;6153410;6063637;5945325;5906930;5837202;5786428;5741691;5616790;5316935;5310648;5283339,Pedro S. Coelho; Eric M. Brustad; Zhan Wang; Jared C. Lewis; Ruijie Zhan; Lena Wohlschlager; Hans H. Renata; Kai Chen; Sek Bik Jennifer Kan; Russell D. Lewis; Christopher C. Farwell; John A. McIntosh; Pete Heinzelman; Devin L. Trudeau; Toni M. Lee; Stephen L. Mayo; Indira Wu; Edgardo Farinas; Ulrich Schwaneberg; Anton Glieder; Matthew W. Peters; Peter Meinhold; Chi-Huey Wong; Yuuichi Mitsuda; Michael M. Chen; Clay Bennett; William Greenberg; Jared Crawford Lewis; Sabine Bastian; Christopher Otey;Daniel J. Koch; Rudi Fasan; Patrick C. Cirino; Lian-Hong Sun; Ioanna P. Petrounia; Stephen R. Quake; Hyun Joo; Zhanglin Lin; Oliver May; Karlheinz Dranz; Andreas Bommarius; Zhixin Shao; Huimin Zhao; Lorraine J. Giver; Joseph A. Affholter; Zhibin Guan; Chao-Tsen Chen; Guohua Chen; Jeffrey C. Moore; Darryl Y. Sasaki; Vidyasankar Sundaresan; Deborah Shnek; Daniel Pack; Keqin Chen; Pradeep Dhal; Sean Plunkett; Gerald E. Wuenschell,yes,15,undefined
16,technology to assist vision impaired people,"Developed a word processor for Braille documents, a digital library for Braille documents  an app for improving accessibility of streaming devices Netscape browser plug-in that converts text to speech  and a suitcase that allows visually impaired people to navigate in a crowded or changing environment",Computer Science,Computer  methods & program for effectively notifying others of problems concerning accessibility in content; Voice output device  file selection device  telephone set  & program & recording medium of same; Data editing for improving readability of a display; Method  device & computer program for mapping moving direction by sounds; Content creation system  content creation method  computer executable program for executing the same content creation method  computer readable storage medium  having stored the same program  graphical user interface system & display control method; Method for obtaining accessibility information  computer program & accessibility information device; common input/output interface for application program; Information processing for creating a document digest; Content creation  graphical user interface system & display; Method  program & device for analyzing document structure; Information processing for creating a document digest; Processing structured/hierarchical content,9792834;9349302;9262386;8589067;8494860;8438470;8244541;8132099;7913191;7890883;7877260;7698627;7600185;7502995;7403897;7246041;7225397;7197462;7058695;6985147;6205427,Shinya Kawanaka; Daisuke Sato; Hironobu Takagi; Tohru Ifukube; Shuichi Ino; Kentaro Fukuda; Junji Maeda; Hidemasa Muta; Susumu Harada; Hisashi Miyashita; Tatsuya Ishihara; Hiroshi Nomiyama,yes,16,undefined
17,"2009 - Pioneer in the multidisciplinary field of Biogeophysics ","* Atekwana uses geophysics to understand the biogeochemical interactions at contaminated sites * Research investigates the effects of microbial-mediated processes on geological media * Some of her research evaluates the utility and resolution of in situ resistivity measurements combined with surface geoelectrical measurements to map contaminant distribution in the subsurface * Also uses the geoelectric and geophysical signatures of contaminated sites to investigate relationships between biological processes and their impact on electrical properties of geologic material. ","Geophysics ",none,none,none,done,17,Earth Sciences
18,developed cosmetics for women of color,Created foundation shades for women of color,Chemistry,cosmetic applicators; foundation shades; holds 3 patents,10813434;D819265; D827924,Christine Marie Crane; Mikhail Motornov; Gracemarie Rose Papaleo-Trombetta; Ludovic LeCaro; Patrick Jouffret; Noemis Chaillet Piquand; Anke Hadasch,yes,18,undefined
19,"Developed Newton personal digital assistant (PDA) ",Led team that developed PDA; holds 14 patents,Computer Science,Remote control system & method for providing page commands to digital display devices; A.C. power line surge protectors; Method & apparatus for reformatting paragraphs on a computer screen; Method & apparatus for training a recognizer; Method & apparatus for recognizing handwriting of different users of a pen-based computer system; Method & apparatus for setting character style preferences in a pen-based computer system; Gasket for an electrical plug,9275541;8724283;6032163;5680480;5666438;5434929;D706226;D708147;D708148;D708148;D708586;D740232;D750571; D826179,David E. Hayes; Klaus J. Dimmler; Frederick N. Tou; Ernest H. Beernink; David T. Temkin; John R. Meier; Eugeny Chechetkin,yes,19,undefined
20,Photography,"used photography to document changes in New York  immigrant populations  intimate relationships between Victorian women social activities & natural & architectural world of her travels ",Photography,none,none,none,yes,20,undefined
21,Former president and CEO of The Aerospace Corporation.,"Austin is the first female & first African-American to hold the post of president & CEO of The Aerospace Corp. She is also co-founder of MakingSpace, Inc., a venture-backed, accessible talent acquisition and learning experience platform that allows companies to train and access pre-qualified disabled, overlooked, and underrepresented talent pools. Designed to bridge the education-employment gap, Making Space creates tangible pathways to employment and career advancement through employer-supported courses.",Business,none,none,none,yes,21,undefined
22,"Circular Saw ",The circular saw is attributed to by Shaker lore: circular saw  improved spinning wheel head; process for manufacturing false teeth; process for manufacturing cut nails (also claimed by Eli Whitney),"Technology, Tool Maker",circular saw; improved spinning wheel head; manufacturing process for false teeth; manufacturing process for cut nails,none,none,yes,22,undefined
23,"Chief administrator for Television Weather Activities at the National Oceanic and Atmospheric Administration (NOAA) ","Bercey was an international expert on weather. Increasing the participation of African-American women in meteorology and geophysical science was a major focus for Bacon-Bercey. In 1978, she published an analysis of African-American meteorologists in the US.[16] She had won $64,000 as a contestant on The $128,000 Question in 1977, which she used to establish a scholarship fund for young women interested in atmospheric sciences, administered by the American Geophysical Union (AGU).[17][18] From 1978-1990, 13 women (12 graduate students, 1 undergraduate student) received $400-$500 of scholarship money from AGU's June Bacon-Bercey Scholarship in Atmospheric Sciences for Women.",Meteorology,none,none,none,yes,23,undefined
24,Robotics,developement of improved robotic perception & creation of better method to analyze medical images; holds 3 patents,Computer Science,semi-passive control system & method for assistive orthoses; method & system of driving assistance for collision avoidance; system for detection of body motion,10729610;9779624;9060714,Roberrt Peter Matthew; Eric John Mica; Waiman Meinhold; Joel Alfredo Loeza; Masayoshi Tomizuka; Stephanie Lefevre; Christian Laugier; Allen Y. Yang; S. shankar Sastry; Roozbeh Jafari,yes,24,undefined
25,Internal spreadsheet about Google pay discrepancies,"Chief Technology Officer for the Democratic Congressional Campaign Committee, and known for her outspoken support of diversity and inclusion. She has worked at companies including GitHub, Google, Slack, Patreon, and Microsoft. She gained prominence in 2015 for starting an internal spreadsheet where Google employees reported their salary data to better understand pay disparities within the company.",Computer Science,none,none,none,yes,25,undefined
26," Introduced public health services and education in the immigrant slums of New York City","Baker and a group of nurses started to train mothers in how to care for their babies: how to clothe infants to keep them from getting too hot, how to feed them a good diet, how to keep them from suffocating in their sleep, and how to keep them clean. She set up a milk station where clean milk was given out. Commercial milk at that time was often contaminated, or mixed with chalky water to improve colour and maximize profit. Baker also invented an infant formula made out of water, calcium carbonate, lactose, and cow milk. This enabled mothers to go to work so they could support their families. Baker aided in the prevention of infant blindness, a scourge caused by gonorrhea bacteria transmitted during birth. To prevent blindness, babies were given drops of silver nitrate in their eyes. Before Baker arrived, the bottles in which the silver nitrate was kept would often become unsanitary or would contain doses that were so highly concentrated that they would do more harm than good. Baker designed and used small containers made out of antibiotic beeswax that each held a single dose of silver nitrate, so the medication would stay at a known level of concentration and could not be contaminated. In focusing her attention on older children, Baker worked to make sure each school had its own doctor and nurse, and that the children were routinely checked for infestations. This system worked so well that head lice and the eye infection trachoma, diseases once rampant in schools, became almost non-existent. ",Public Health,baby formula; single-use medicine vials,none,none,yes,26,undefined
27,"1915 Development of the ""Ball Method"", the most effective treatment for leprosy during the early 20th century.","At age 23, Ball developed a technique to make the oil injectable and water-soluble. Her technique involved isolating ester compounds from the fatty acids found in the oils and chemically modifying them, producing a substance that retained the oil's therapeutic properties and was absorbed by the body when injected Ball was unable to publish her revolutionary findings before her untimely death in 1916. Arthur L. Dean, a chemist and Ball's graduate study advisor, dean of the college, and later president of the university, was privy to details of the process she developed. After Ball's death, Dean undertook further trials and by 1919, a college chemistry laboratory was producing large quantities of the injectable chaulmoogra extract. Dean published details of the work and the findings without acknowledging Ball as the originator or crediting her work.",Medicine - Leprosy Medication,Ball Method to treat leprosy,none,questionable-Arthur L. Dean  her thesis advisor  claimed the treatment for leprosy after her death,yes,27,undefined
28,Cellular engineering in Sickle Cell Disease,"Barabino’s thesis work involved studying the abnormal flow of blood in sickle cell disease, a topic she picked because it disproportionately affects African Americans. She worked to understand the molecular mechanisms that cause red blood cells to stick together and adhere to the walls of blood vessels as they deform to pass through small capillaries in people with sickle cell disease. She was awarded a PhD in 1986. In 2007 Barabino moved to Georgia Tech, which was a center for sickle cell research. ",Engineering - Biomedical,none,none,none,yes,28,undefined
29,"Studies of worm behavior and neural control, focusing on the sense of smell","In her studies of worm behavior and neural control, Bargmann focused on olfaction at the molecular level. She looked for genes similar to those found by Richard Axel and Linda Buck to be the basis of smell and taste, and found those genes in the recently sequenced genome of C elegans. Her work led to discoveries of the mechanisms underlying complex behaviors, such as feeding behaviors. The work has continued to lead to a deeper understanding of the brain, sensory abilities, and neuronal development. Bargmann also identified SYG-1, a ""matchmaker"" molecule—a molecule that directs neurons to form connections with each other during development. ","Biology - Biochemistry, Neurobiology",none,none,none,yes,29,undefined
30,Design of a ceramic spark plug insulator,"Noticing inefficiencies in the previous insulators, Barlett used her previous knowledge in mineralogy and petrology, as well as the knowledge gained through experience working for AC Spark Plug (General Motors), to introduce a ceramic spark plug insulator made of material which would last longer as a result of its higher heat resistance and would require less maintenance overall. By encasing the spark plugs, she had made possible for them to become quite durable. Prior to the design changes, spark plugs would get covered in byproducts spewed by the engine and had to be manually cleaned every 70 to 150 kilometers for the vehicle to function effectively. Alumina insulator material allows plugs to handle high heat and voltage within the spark plug, enabling vehicles to operate in a cleaner and, in turn, more efficient manner.",Automotive - Ceramics Engineering,Spark plug insulator; Ceramic body for spark plug insulators; Method of processing mica; Ceramic composition & process for making same; corrosion-resistant coating for magnesium die castings,2152655;2177943;2214931;2232860;2344670;2760875;3378410,Taine G. McDougal; Allira H. Fessler; Karl Schwartzwalder,yes,30,undefined
31,"1986 Invention of the laser phaco probe to easily remove cataracts. ","In 1986, Bath was able to begin early studies in laser cataract surgery, including her first experiment with excimer laser photoablation using human eye bank eyes. Bath coined the term ""laser phaco"" for the process, short for laser photoablative cataract surgery, and developed the laser phaco probe, a medical device that improves on the use of lasers to remove cataracts, and ""for ablating and removing cataract lenses"". Bath first had the idea for this type of device in 1981, but did not apply for a patent until several years later. The device was completed in 1986, which quickly and nearly painlessly dissolves the cataract with a laser, irrigates and cleans the eye and permits the easy insertion of a new lens. It is now used internationally to treat the disease. Bath continued to improve the device and successfully restored vision to people who had been unable to see for decades. ",Medicine - Ophthalmology,Combination ultrasound & laser method & appararus for removing catarats; Pulsed ultrasound method for fragmenting/emulsifying & removing cataract lenses; Method & apparatus for ablating & removing cataract lenses; Laser apparatus for surgery of cataractous lenses;apparatus for ablating & removing cataract lenses,6544254;6083192;5843071;5919186;4744360,none,yes,31,undefined
32,Manufacture of barrels,"Previously, all barrels were made by hand in a manual process. In 1880, after observing widespread advertisement for businesses desperately in search of barrel coopers, she asked her son, Oscar, whether there was any available machine that would make barrels and remove the need for coopers. After hearing that there wasn't, she became determined to create a solution and began brainstorming designs for a barrel-hooping machine capable of reliably and efficiently hooping wood together to create barrels.[8]  In 1881, Beasley won her first patent for a barrel-hooping machine,[11] followed by a second version of the patent (including one filed in the United Kingdom) in 1882.[12][27] Her machine is designed to fit hoops tightly onto both sides of the barrel simultaneously, using two reciprocating heads, firmly-secured ""hooping-toes"" to guide the hoops, and a combination of springs, screws and levers.[11] Her updated patent aims to account for differences and imperfections in the shape of barrel staves and hoops; it uses radially-adjustable arms and jaws to hold materials more firmly in place.[12] The final design was capable of hooping 1,600-1,700 barrels per day, far more than a barrel cooper could hoop on their own.[8]",Manufacturing,"Barrel-making machine, along with process of making barrels; Barrel Setting-up machine; Process of notching & cutting hoops for barrels, Barrel-hoop driving machine.",258191;380976;341721;226264;245050;256951;604513;258004;202919;352850;300193;393683;448905,George Rehfuss; J. George Rehfuss; Martin O. Rehfuss; S. Lloyd Wiegand; Emil M. Hugentobler; George M. Newhall,yes,32,undefined
33,"Co-founder of Beech Aircraft (1932) with Walter Beech ","Olive and Walter Beech established Beech Aircraft ""with the goal to build the finest airplanes in the world.""[9] Walter Beech quit Curtiss-Wright and started Beech Aircraft Company in Wichita, naming himself as president, Olive Ann as secretary. Olive Ann suggested that to help increase sales of their aircraft that the company should sponsor a woman pilot flying the Staggerwing in the 1936 transcontinental Bendix Trophy Race. Beech-sponsored pilot Louise Thaden, along with Blanche Noyes as co-pilot, won the race against some of the nation's best male pilots.",Aviation,none,none,Walter Beech,yes,33,undefined
34,renewable energy,assists Native American Tribes with renewable energy development,Engineering,none,none,none,yes,34,undefined
35,1958 Invention of wrinkle-resistant cotton.,"While working at the U.S. Department of Agriculture (USDA) laboratories in New Orleans in the 1950s,  Benerito developed a method for the use of mono-basic acid chlorides in the production of wash-and-wear cotton fabrics, allowing for more wrinkle-free and durable clothing.  In the southern United States, cotton was a major agricultural product and was a key material in the production of various household items, including clothing, bed sheets, and table linens. However, a major issue with cotton items was how much they wrinkled after being washed, requiring much household time to iron the fabric. Benerito found a way to chemically treat the surface of cotton that led not only to wrinkle-resistant fabric but also to stain- and flame-resistant fabrics. The invention was said to have ""saved the cotton industry.""",Textile Engineering - Wrinkle-resistant Cotton,Combination baleer Feeder  1924; method for intravenously feeding patients to sick to eat; wrinkle-resistant cotton fabric; theory of how cross linking works; stain & flame resistant fabric; see Docs Links for complete list,3432252;5322524;4871370;4414084;4351857;4092106;4084027;4082500;4067689;4046953;4032293;4029533;4013493;3963434;3963433;3963435;3936580;3617201;3382029;3150920;3829290;3612891;3644082;3918899;3268293;3079214;3351420;3545912;3372977;3585190;3567501;3563688;3382030;3494719;3579289;3464781;3527658;3567362;3493319;3526475;3563691;3414369;3441609;3563689;3567358;3563692;3383390;3432252;3734685;3854867;3914108;3645667;3854868;3929535;3926709;3910760,John B. McKelvey; Lawrence Y. Yatsu; Timothy A. Calamari  JR; Truman L. Ward; Ralph J. Berni; Mary W. Pilkington; Marilyn M. Smith; dorothy M. Perrier; Jacques J. Hebert; Richard H. Steele; D. Soignet; Julius R. Jung  JR; Beverly G. Burgis; Judith A. O'Connor; Elwood J. Gonzales; Hilda Z. Jung; John D. Guthrie; Linda L. Muller,yes,35,undefined
36,"1917 - Shoe that delivered medicine through the sole. ","* Benjamin held patent for a shoe that delivered medication through the sole. * A second patent was given for a Gong & Signal Chair for use in hotels, which could summon a waiter without having to get up. ",Medical Equipment,"Medicine delivery through sole of a shoe, also Gong Signal Chair for Hotels. ",386289;1249000,none,"done ",36,"Medicine "
37,2009 - Surgeon General of the United States,"* Benjamin was chosen for the position of Surgeon General of the United States in 2009 * In her work, she made clear her dissatisfaction with the current health care system, in terms of accessibility as well as cost. * She noted the deaths of her brother, who died of HIV, as well as her father, who died of high blood pressure and diabetes, and her mother who died of lung cancer, all of which, she implied, were ""preventable diseases.""",Public Health,none,none,none,yes,37,undefined
38,renewable energy,Launched Web 2.0  2007; founded NewMe  2011  founded  CEO & Director of Streamlytics  2018; diversified tech industry; provided solar electricity to 10 rural  poor villages in Africa,Technology,System & Method for Standardizing Data,20220300636 (pending),Candrianna Coe; Ahmed Maawy,yes,38,undefined
39,invented disposable coffee filters,"was a German entrepreneur who invented the paper coffee filter brewing system in 1908. She founded the namesake company Melitta ",Technology,paper coffee filter,patent granted by German patent office 1908  number unknown,none,yes,39,undefined
40,invented brake lining & ignition insulation,took first long-distance (66 miles) car ride in a combustion powered engine  8/8/1888; financially assisted in development of Motorwagen; suggested adding a third gear to car; made suggestions for improving fuel line design; invented first leather brake lining; added insulation to ignition wiring,Automotive - Technology,brake lining and wire insulation of ignition,forbidden by law to hold a patent,Karl Benz,yes,40,undefined
41,invented business machines,1971  created first word processsor  Data Secretary; designed computer systems for buiness use including computer-controlled system for airline reservations (1962)  US Army firing-range coputations  calculating controlled distribution of magazines  first computerized banking system  and betting system for horse racing tracks; holds 13 patents (only 8 found),Computer Science,Data processing system; On-line data transfer apparatus; Data transfer apparatus; Installation for data processor,3253262;3231865;32598886;964769(Canada);956725;619904(Belgium); 719347(Canada);2913176,Frank C. Marino; Donald W. Russell; Edwin Singer; Phillip Rosenblatt,yes,41,undefined
42,Robotics Engineering and Education,educational mobile robotics & enhanced human-robotic interfaces.  She is professor of electrical and computer engineering at Rose-Hulman Institute of Technology. She is co-director of the Rose Building Undergraduate Diversity (ROSE-BUD) program. She is a co-founder of Black In Engineering and a co-founder of Black In Robotics.,Computer Science,none,none,none,yes,42,undefined
43,Passing the Bar Testing Techniques,"""Wrote a textbook  """"Science of Man's Environment-Principles of Science & Technology for Environment  Marine  Engineering & Ocean Science Technology """" 1986; helped develop job opportunities for minorities in marine science & oceanography  established & operated Marine Science Technology program at Washington Technical Institute (later part of University of the District of Columbia); helped establish seminar  """"Passing the Bar"""" Testing Techniques enabling more minority students to pass the bar exam""",Earth Sciences  Education,none,none,none,yes,43,undefined
44,"2022 - Nobel Prize in Chemistry for development of Bioorthogonal Chemistry and Click Chemistry ","* Bertozzi coined the term bioorthogonal chemistry for chemical reactions compatible with living systems * Allows researchers to chemically modify molecules within living systems * Won Nobel Prize in chemistry 2022 * Also worked on Click Chemistry, describing how synthetic chemistry could emulate the way nature constructs complex molecules, using efficient reactions to join together simple, non-toxic building blocks * While at Berkeley, discovered viruses can bind to sugars in the body. ","Bioorthogonal Chemistry, Click Chemistry",Bioorthogonal Chemistry; modifying molecules;for a complete list of 32 patents see Doc Links,11459398;11135299;11041850;10914742;10451632;10328161;10114026;10016498;9789180;9410958;9410966;9303068;9713966;8703936;8552100;8461298;8257932;8022040;7939626;7923582;7868152;7807619;7667012;7589182;7344703;7193034;6974580;6939945;6863895;6858213;6465612;5212075,Elliot C. Woods; Han Xiao; Melissa Gray; Peter V Robinson; Cheng-ting Tsai; Christina Woo; Christopher J. Chang; Genevieve C. van de Bittner; Elena A. Dubikovskaya; Mary Sloan Siegrist Palmore; John C. Jewett; Chelsea G. Gordon; Peyton Shieh; Brian P. Smart; Austin A. Pitcher; Krishnan K. Palaniappan; Mark A. Bredenback; Ellen May Sletten; Jie Song;  Eduardo Saiz; Antoni P. Tomsia; Nicholas J. Agard; Jennifer A. Prescher; Jeremy Michael Baskin; Xing Chen; Alexander K. Zetti; Seung-Wuk Lee; Elena Saxon; John Kehoe; Andrew M. Bradbury; Spencer J. Williams; Joseph D. Mougous; Lisa A. Marcaurelle; Elena C. Rodriguez; Mark D. Bednarski; Jon O. Nagy,yes,44,Chemistry
45,non-linear partial differential equations,non-linear partial differential equations & Graphical models for data science; holds 8 patents,Mathematics,Method for inpainting images; system & method for data fusion mapping estimation; determining fluid reservoir connectivity using nanowire probes; method for coating a frame of a stretcher,7840086;8938115B2; 10620107;200701600309;20170052104;20190187040;20120257818;20100077550,"Selim Esedoglu; Alan E. Gillette; Laura M. Smith; Matthew S. Keegan; Todd Wittman; George O. Mohler;Paul Weiss; Anna Andrews; Stanley Osher; ",yes,45,undefined
